movieInfo	title	star	quote
1	肖申克的救赎	807603	9.6
2	这个杀手不太冷	775487	9.4
3	霸王别姬	573570	9.5
4	阿甘正传	666391	9.4
5	美丽人生	385444	9.5
6	千与千寻	618325	9.2
7	辛德勒的名单	357293	9.4
8	泰坦尼克号	613131	9.2
9	盗梦空间	721398	9.2
10	机器人总动员	473866	9.3
11	海上钢琴师	568071	9.2
12	三傻大闹宝莱坞	625994	9.1
13	忠犬八公的故事	420096	9.2
14	放牛班的春天	424641	9.2
15	大话西游之大圣娶亲	434555	9.1
16	教父	324016	9.2
17	龙猫	394091	9.1
18	乱世佳人	256326	9.2
19	楚门的世界	418429	9
20	天堂电影院	293493	9.1
21	当幸福来敲门	509081	8.9
22	触不可及	343716	9.1
23	搏击俱乐部	385970	9
24	十二怒汉	159527	9.3
25	无间道	371586	9
